# file_basename|shocking_score_1_to_3|tags|n_iterations
# tags: animal, dancing, cute, funny, meme, eyecandy
big_chonk|1|animal,cute,funny|1
cat_staying_alive|1|animal,cute,funny|1
charpu|1|eyecandy|1
corgi_hose|1|animal,cute,funny|1
cosmic_yeee|1|meme,funny|1
crab_rave|1|meme,dancing,funny|1
crash_boulder_run|1|eyecandy|1
cutting_gears|1|eyecandy|1
dog_grass|1|animal,funny|1
dog_grips|1|animal,cute,funny|1
do_it|1|meme,funny|1
egg_eating_competition|2|meme,funny|1
fat_seal|1|animal,funny|1
ferris_wheel_dance|1|dancing|1
gabe_howling|1|animal,cute|1
gabe_monologue|1|animal,cute|1
girl_dancing|1|dancing,cute|1
harambe|2|meme|1
leek_girl|1|dancing,cute|1
lit_lizards|1|dancing,meme|1
mandelbrot|1|eyecandy|1
meow_sad_toy_cats|2|animal,meme|1
multi_track_drifting|1|meme,funny|1
napoleon_dynamite|1|dancing,funny|1
nichijou_deer|1|cute,funny|1
numa_numa|1|dancing,meme,funny|1
nyan_cat|1|meme,cute|4
nyan_epic|1|meme,cute|4
nyan_galactic|1|meme,cute|4
paprika|1|eyecandy|1
pikachu_happy|1|cute|4
pikachu_pencil|1|cute|4
pikachus_dancing|1|cute|4
pink_squeaky|2|cute,funny|1
potato_suicide|1|cute,funny|1
saw_hero|1|dancing|1
skull_trumpet|1|funny|4
slow_ricardo|1|meme,funny|1
smol_woof|1|cute,animal|1
surreal_cows|2|dancing,animal|1
take_on_mario|2|meme,funny|1
transfiguration|3|eyecandy|1
vitas|2|meme,dancing,funny|1
waffle|1|meme,funny|1
watermelon_rubber_band|2|meme,funny|1
woof|1|dancing,animal,cute|1
yoda_owned|2|funny|1

